video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=0u4f52w4qgQ&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@OBFYT,OBF,Why Europe Is Insanely Well Designed,3.7M,1 year,Why Europe Is Insanely Well Designed Support me on Patreon: https://www.patreon.com/oliverbahl Follow me on Twitter: ...,2024-01-25 20:37:31.315770
/watch?v=2LtZitVvECw&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@HappytoWander,Happy to Wander,HOW TO TRAVEL EUROPE BY TRAIN 2023 | A Step by Step Guide for Beginners,70K,8 months,... Where I compare/book transport in Europe {Paid Link}: https://happytowander.com/omio ➡️ My go-to travel insurance {Paid ...,2024-01-25 20:37:31.321464
/watch?v=Fbfegva4uHM&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@HappytoWander,Happy to Wander,"TRAVEL EUROPE CHEAP | How to Save Money on Trains, Buses & Flights in Europe (EVERY TIME!)",144K,4 years,... Where I compare/book transport in Europe {Paid Link}: https://happytowander.com/omio ➡️ My go-to travel insurance {Paid ...,2024-01-25 20:37:31.325150
/watch?v=rN7A4PTHWn0&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@AnuBernardFilms,Bernard,"This Country Offers Free Public Transportation! - 🇱🇺 Luxembourg, Europe",98K,2 years,Subscribe to our channel and Give us thumbs up if you enjoyed it. ✓ Leave your thoughts below ✓ Share with your friends and ...,2024-01-25 20:37:31.331601
/watch?v=FBMH5j2ugk8&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@dweuromaxx,DW Euromaxx,"Why German Public Transport Is ""Special"" | Germany In A Nutshell",109K,1 year,"Finally, what are some of the unique quirks that you'll only find in the German public transportation system? We will take a closer ...",2024-01-25 20:37:31.335703
/watch?v=W0HsFHz0aXw&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@CGTNEurope,CGTN Europe,"Trains, Trucks, Tractors, and Buses, Europe on Strike!",141,1 day,"From Germany's train stations to France's highways, and Italy's entire transportation system, Europe is on Strike! Follow CGTN's ...",2024-01-25 20:37:31.338431
/watch?v=3j2RQ3MiIQY&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@euronews,euronews,Free public transport in Europe: Is the social experiment working or is it just a gimmick?,5K,1 year,Luxembourg and some European cities and towns have scrapped fares on public transport. Has it had the benefits they hoped for ...,2024-01-25 20:37:31.341116
/watch?v=U9jirFqex6g&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@Wendoverproductions,Wendover Productions,Europe’s Experiment: Treating Trains Like Planes,2.8M,1 year,Writing by Sam Denby and Tristan Purdy Editing by Alexander Williard Animation led by Josh Sherrington Sound by Graham ...,2024-01-25 20:37:31.343667
/watch?v=feCQPD9DSOA&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@TomScottGo,Tom Scott,The country where all public transit is free,2.5M,3 years,"From March 1st 2020, Luxembourg will have free public transit throughout the country: you'll be able to travel on buses, trains, ...",2024-01-25 20:37:31.346292
/watch?v=U3qeYRI34C8&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@RMTransit,RMTransit,Why American Buses Are Just Worse,785K,1 year,"RMTransit is here to answer that, and help you open your eyes to all of the different public transportation systems around the ...",2024-01-25 20:37:31.348946
