video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=0nsPGMoXqX0&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@CNBC,CNBC,Why The U.S. Gave Up On Public Transit,943K,6 months,Public transit in the U.S. is notorious for being infrequent and unreliable. Americans had to wait 17 minutes on average to get on ...,2024-01-25 20:43:27.874642
/watch?v=yr8E17ykczE&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@RMTransit,RMTransit,What American Transit Could Learn From Canada,51K,10 months,"Canada is like the United States in a lot of ways - we have big roads, highways, and suburbs. But Canadian transit is often more ...",2024-01-25 20:43:27.876703
/watch?v=V3yXSD2O95E&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@answerinprogress,Answer in Progress,why america is addicted to cars,1.2M,7 months,Why does public transit in America suck? When most other economic powerhouse nations have consistent and broad-reaching ...,2024-01-25 20:43:27.878915
/watch?v=-ZDZtBRTyeI&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@Vox,Vox,Why American public transit is so bad | 2020 Election,6.3M,3 years,Most Americans have no choice but to drive. How do we change that? We produced this video in 2020 as part of our US election ...,2024-01-25 20:43:27.886509
/watch?v=UXCl3_Xq21I&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@strongtowns,Strong Towns,Not Just Bikes and Strong Towns Discuss Public Transit in North America,215K,1 year,"""It's nothing to do with the population of the city and everything to do with - when you step off that transit vehicle, where are you?",2024-01-25 20:43:35.326085
/watch?v=MnyeRlMsTgI&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@NotJustBikes,Not Just Bikes,America Always Gets This Wrong (when building transit),1.8M,1 year,"Why is it that in the US & Canada, we're always being told that we can't justify the ridership for transit projects? And why is it that ...",2024-01-25 20:43:35.329754
/watch?v=U3qeYRI34C8&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@RMTransit,RMTransit,Why American Buses Are Just Worse,785K,1 year,"In most of the world, cities buy buses from a wide variety of companies. But unfortunately, in North America, there are mainly just ...",2024-01-25 20:43:35.332467
/watch?v=UwVn89qO7zY&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@RMTransit,RMTransit,Why I have Hope for American Transit,107K,5 months,"The United States is not known for its great transit systems, but many of those same systems are getting better and better every ...",2024-01-25 20:43:35.336037
/watch?v=Ftenw2IsJDY&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@CityNerd,CityNerd,Smaller Cities With Great Transit: 10 Metro Areas Under a Million Population With High Ridership,128K,1 year,Photo/Video Credits: - NY subway Video by jeffrey242 from Pixabay Music: CityNerd background: Caipirinha in Hawaii by Carmen ...,2024-01-25 20:43:35.338389
/watch?v=DBD_vIgWddI&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@TorontoCityCouncilLive,Toronto City Council,"Budget Subcommittee at Scarborough Civic Centre - January 22, 2024 - 1:30 p.m.",611,Streamed 2 days,Meeting Navigation: 0:04:49 - Call to order Agenda Items: 0:08:44 - BX3.1 - Public Presentations on the 2024 Capital and ...,2024-01-25 20:43:35.341706
