video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=cwcsKxnJeEE&pp=ygUocHVibGljIHRyYW5zcG9ydGF0aW9uIHNlYXR0bGUgd2FzaGluZ3Rvbg%3D%3D,/@SharingtheRoad,Sharing the Road,How To Get Around Seattle | Cheap Public Transport 101,79K,1 year,Today we're talking about how to get around Seattle for cheap. We'll be discussing the best public transportation in the city to ...,2024-01-25 20:40:31.315319
/watch?v=en6WSv6stdY&pp=ygUocHVibGljIHRyYW5zcG9ydGF0aW9uIHNlYXR0bGUgd2FzaGluZ3Rvbg%3D%3D,/@foodloverasian143,foodloverasian,How to use Seattle Link Light Rail ( from Sea-Tac Airport to Downtown Seattle ) - Tour Guide 2023,29K,11 months,Please switch to 1080p on your settings to get a better quality video. Getting to downtown Seattle from Sea-Tac airport is very easy ...,2024-01-25 20:40:31.317205
/watch?v=ct4bwWsP3iE&pp=ygUocHVibGljIHRyYW5zcG9ydGF0aW9uIHNlYXR0bGUgd2FzaGluZ3Rvbg%3D%3D,/@TheB1M,The B1M,Seattle is Building a $54BN New Railway,1M,1 year,Narrator - Fred Mills Producer - Jaden Urbi Video Editing and Graphics - James Durkin Additional Motion Graphics - Vince North ...,2024-01-25 20:40:31.320659
/watch?v=AlKGIRm4S70&pp=ygUocHVibGljIHRyYW5zcG9ydGF0aW9uIHNlYXR0bGUgd2FzaGluZ3Rvbg%3D%3D,/@RMTransit,RMTransit,Every City NEEDS a Transit Hub! | Seattle's Big Decision,161K,10 months,"Seattle is doing one of America's largest transit expansions, but plans to ""value engineer"" the new downtown tunnel are risking the ...",2024-01-25 20:40:31.324034
/watch?v=wd_kzQjQyTg&pp=ygUocHVibGljIHRyYW5zcG9ydGF0aW9uIHNlYXR0bGUgd2FzaGluZ3Rvbg%3D%3D,/@YellowProductions,Yellow Productions,Seattle Travel Tips: 8 Things to Know Before You Go,185K,4 years,"Everything YOU need to know before you travel to Seattle Washington. With a population of 750000, Seattle is located in the ...",2024-01-25 20:40:31.328140
/watch?v=EVFSrJIh5KE&pp=ygUocHVibGljIHRyYW5zcG9ydGF0aW9uIHNlYXR0bGUgd2FzaGluZ3Rvbg%3D%3D,/@kaye.,Kaye,Getting around Seattle,431,6 months,"The fam took a quick trip to Seattle, Washington. My brother and I commentate our experience there. We only used the public ...",2024-01-25 20:40:31.330708
/watch?v=_vWW7bHWiA0&pp=ygUocHVibGljIHRyYW5zcG9ydGF0aW9uIHNlYXR0bGUgd2FzaGluZ3Rvbg%3D%3D,/@CityNerd,CityNerd,How Seattle Is Becoming an Urbanism Juggernaut (Maybe in Spite of Itself),211K,3 months,"Sound Transit Link's Northgate Station, opened in 2021, is now the system's busiest -- but it still isn't anywhere near meeting its ...",2024-01-25 20:40:40.635858
/shorts/KR-DKdZKSlY,/@WeTheGoverned,We The Governed,Ride Seattle Public Transit!  Where only the suckers pay the fare #shorts,3.9K,1 year,Sound Transit and Seattle Metro have been leading the way impressing everyone with the massive sums spent to move 1% of the ...,2024-01-25 20:40:40.640101
/watch?v=pU_PU-IHpHU&pp=ygUocHVibGljIHRyYW5zcG9ydGF0aW9uIHNlYXR0bGUgd2FzaGluZ3Rvbg%3D%3D,/@livingintacomawashington,Living In Tacoma Washington [The Original!],Cost Of Living In Tacoma Washington In 2024 [Can You Afford To Live Here?],143,19 hours,Cost Of Living In Tacoma Washington In 2024 [Can You Afford To Live Here?] Can you afford to live in Tacoma Washington in ...,2024-01-25 20:40:40.644168
/watch?v=EYnJdylkjPM&pp=ygUocHVibGljIHRyYW5zcG9ydGF0aW9uIHNlYXR0bGUgd2FzaGluZ3Rvbg%3D%3D,/@CityBeautiful,City Beautiful,I rode ALL kinds of Seattle transit in 4 hours (even the monorail),166K,2 years,"Produced by Dave Amos in sunny San Luis Obispo, California. Edited by Ryan Alva in Los Angeles, California. Audio by Eric ...",2024-01-25 20:40:40.651664
/watch?v=Nn8J65vY_H4&pp=ygUocHVibGljIHRyYW5zcG9ydGF0aW9uIHNlYXR0bGUgd2FzaGluZ3Rvbg%3D%3D,/@Kheyitsk,K,top 4 ways to get around seattle WITHOUT a car,14K,4 years,"hello everybody! getting around seattle can be difficult without a car! hopefully, this top 4 ways to get around seattle without a car ...",2024-01-25 20:40:40.662162
