video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=sJquVkSomqM&pp=ygUocHVibGljIHRyYW5zcG9ydGF0aW9uIHp1cmljaCBzd2l0emVybGFuZA%3D%3D,/@NoushadHudali,Travel with NJ,"How to buy public transport (Trams/Buses/Ferry)  TICKETS,  passes in Zurich Switzerland?",12K,11 months,"How to buy Tram-Bus TICKETS in Zurich - Switzerland. How to buy city transport tickets in Switzerland How to buy Tram, Bus, ship ...",2024-01-25 20:30:04.672264
/watch?v=Urh46bAUX8Q&pp=ygUocHVibGljIHRyYW5zcG9ydGF0aW9uIHp1cmljaCBzd2l0emVybGFuZA%3D%3D,/@Olliechinny,Olivia,How to get around in Switzerland by PUBLIC TRANSPORT!,49K,1 year,"Whassup guys! Back with a new video this week, this time with a Swiss-101 survival guide on how to use the public transport in ...",2024-01-25 20:30:04.682137
/watch?v=ygCuvYO7cmk&pp=ygUocHVibGljIHRyYW5zcG9ydGF0aW9uIHp1cmljaCBzd2l0emVybGFuZA%3D%3D,/@RMTransit,RMTransit,Switzerland’s Incredible Railway Precision | Zurich S-Bahn Explained,127K,1 year,"The Zurich S-Bahn is a unique system with service to another country, an incredible amount of infrastructure & interlining, along ...",2024-01-25 20:30:04.691625
/watch?v=UGwjBqQvG-c&pp=ygUocHVibGljIHRyYW5zcG9ydGF0aW9uIHp1cmljaCBzd2l0emVybGFuZA%3D%3D,/@scottoftheroad,scott of the road.,Zürich Airport (ZRH) by Train - Getting there by Public Transit,3K,5 months,"A tram and/or train is a great way to get to the Zürich Airport (ZRH). Almost certainly the least expensive way to travel, and you ...",2024-01-25 20:30:04.694739
/watch?v=-Kz40Jo88AU&pp=ygUocHVibGljIHRyYW5zcG9ydGF0aW9uIHp1cmljaCBzd2l0emVybGFuZA%3D%3D,/@TheTravelingSwiss,The Traveling Swiss – Alexis & Louis,"SWISS BUDGET TRAVEL: 11 Tips to Travel to Zurich, Switzerland on a Budget (Free & Cheap!)",71K,1 year,"Hey guys! In this video we're giving you tips to travel to Zurich, Switzerland on a budget. Zurich is one of the most expensive cities ...",2024-01-25 20:30:04.702682
/watch?v=ySGfOkKOtZk&pp=ygUocHVibGljIHRyYW5zcG9ydGF0aW9uIHp1cmljaCBzd2l0emVybGFuZA%3D%3D,/@localvideos9543,Local Videos,How to Buy Public Transport Tickets in Zurich Switzerland (Zone 110) August 2021,13K,2 years,How to Buy Public Transport Tickets in Zurich Switzerland (Zone 110) August 2021 #4k #Zurich #Publictransport #tickets.,2024-01-25 20:30:04.705559
/watch?v=RvhYq_Vfer8&pp=ygUocHVibGljIHRyYW5zcG9ydGF0aW9uIHp1cmljaCBzd2l0emVybGFuZA%3D%3D,/@Luke_Starkenburg,Luke Starkenburg,Zürich Trams and Buses,14K,11 months,This is Part 2 of a 3 part series about my day in Zurich! Zürich has an amazing transportation network!,2024-01-25 20:30:11.619773
/watch?v=Dq1LrK9Lk9Q&pp=ygUocHVibGljIHRyYW5zcG9ydGF0aW9uIHp1cmljaCBzd2l0emVybGFuZA%3D%3D,/@wanderfulstops8488,Wanderful Stops,"ZURICH, SWITZERLAND | FREE THINGS | PUBLIC TRANSPORT MODES AND COST 😃",782,8 months,"Welcome back guys. In this vlog, we will walk through the world's most expensive city and explore some interesting places.",2024-01-25 20:30:11.622326
/watch?v=Ugnaq5PNofU&pp=ygUocHVibGljIHRyYW5zcG9ydGF0aW9uIHp1cmljaCBzd2l0emVybGFuZA%3D%3D,/@AplinsintheAlps,Aplins in the Alps,Ride Swiss Trains Like a Pro! | How To Get From Zurich Airport to Interlaken | SBB Train Tickets,12K,2 months,What if riding Swiss trains was as easy as 1-2-3? ➜ Our Ultimate Guide to Swiss Transportation makes it that simple! ▶️ Watch ...,2024-01-25 20:30:11.624857
/watch?v=5g7vCAAJ9a4&pp=ygUocHVibGljIHRyYW5zcG9ydGF0aW9uIHp1cmljaCBzd2l0emVybGFuZA%3D%3D,/@SwitzerlandInsider,Switzerland Insider,How to buy a Ticket for Public Transport in Switzerland (from a Ticket Machine),40K,4 years,How to buy a ticket for bus or train in Switzerland from a ticket machine? It is very easy to use a ticket machine at a train ...,2024-01-25 20:30:11.628171
